commandin,Rarm0,Rarm1,Rarm2,Rarm3,Rarm4,Rarm5,Rarm6,Larm0,Larm1,Larm2,Larm3,Larm4,Larm5,Larm6,handpara,neckyoo,neckpich,neckrole,waistyoo,waistpich,waistrole
home,0,0,0,90,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
ojigi,0,0,0,90,0,0,0,0,0,0,90,0,0,0,0,0,30,0,0,30,0
leftup,0,0,0,90,0,0,0,0,70,-90,90,0,0,0,0,45,0,0,0,0,0
rightup,0,70,90,90,0,0,0,0,0,0,90,0,0,0,0,-45,0,0,0,0,0
leftdown,0,0,0,90,0,0,0,0,25,-90,30,0,0,0,0,45,0,0,0,0,0
rightdown,0,25,90,30,0,0,0,0,0,0,90,0,0,0,0,-45,0,0,0,0,0
komaru,60,20,0,150,0,-30,0,30,20,70,120,0,0,20,0,0,0,0,0,25,0
banzai,0,30,50,120,0,0,0,0,30,-50,120,0,0,0,0,0,0,0,0,0,0
point,60,0,0,60,0,0,0,10,0,0,150,0,0,0,0,0,0,0,0,0,0
gattu,80,20,-10,90,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0
